"country","region","year","happy_rank","happy_score","gdp_pc","family","health","freedom","trust_gov_corr","generosity","dystopia_res"
"China","Eastern Asia",2015,83,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087
"Bhutan","Southern Asia",2015,84,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916
"Kyrgyzstan","Central and Eastern Europe",2015,85,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136
"Serbia","Central and Eastern Europe",2015,86,5.177,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539
"Bosnia and Herzegovina","Central and Eastern Europe",2015,87,5.163,0.93383,0.64367,0.70766,0.09511,0,0.29889,2.48406
"Montenegro","Central and Eastern Europe",2015,88,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531
"Dominican Republic","Latin America and Caribbean",2015,89,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626
"Morocco","Middle East and Northern Africa",2015,90,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891
"Hungary","Central and Eastern Europe",2015,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473
"Pakistan","Southern Asia",2015,92,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286
"Lebanon","Middle East and Northern Africa",2015,93,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339
"Portugal","Western Europe",2015,94,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015
"Macedonia","Central and Eastern Europe",2015,95,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947
"Vietnam","Southeastern Asia",2015,96,5.061,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418
"Somaliland Region","Sub-Saharan Africa",2015,97,5.057,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2.43801
"Tunisia","Middle East and Northern Africa",2015,98,5.045,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413
"Greece","Western Europe",2015,99,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0,2.12944
"Tajikistan","Central and Eastern Europe",2015,100,4.996,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106
"Mongolia","Eastern Asia",2015,101,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586
"Laos","Southeastern Asia",2015,102,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637
"Nigeria","Sub-Saharan Africa",2015,103,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586
"Honduras","Latin America and Caribbean",2015,104,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551
"Iran","Middle East and Northern Africa",2015,105,4.813,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817
"Zambia","Sub-Saharan Africa",2015,106,4.795,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991
"Nepal","Southern Asia",2015,107,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694
"Palestinian Territories","Middle East and Northern Africa",2015,108,4.754,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,2.40364
"Albania","Central and Eastern Europe",2015,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816
"Bangladesh","Southern Asia",2015,110,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904
"Sierra Leone","Sub-Saharan Africa",2015,111,4.635,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402
"Iraq","Middle East and Northern Africa",2015,112,4.575,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657
"Namibia","Sub-Saharan Africa",2015,113,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198
"Cameroon","Sub-Saharan Africa",2015,114,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198
"Ethiopia","Sub-Saharan Africa",2015,115,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614
"South Africa","Sub-Saharan Africa",2015,116,4.459,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227
"Sri Lanka","Southern Asia",2015,117,4.415,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681
"India","Southern Asia",2015,118,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032
"Myanmar","Southeastern Asia",2015,119,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655
"Egypt","Middle East and Northern Africa",2015,120,4.362,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895
"Armenia","Central and Eastern Europe",2015,121,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864
"Kenya","Sub-Saharan Africa",2015,122,4.356,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326
"Ukraine","Central and Eastern Europe",2015,123,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066
"Ghana","Sub-Saharan Africa",2015,124,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002
"Congo (Kinshasa)","Sub-Saharan Africa",2015,125,4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924
"Georgia","Central and Eastern Europe",2015,126,4.252,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031
"Congo (Brazzaville)","Sub-Saharan Africa",2015,127,4.236,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681
"Senegal","Sub-Saharan Africa",2015,128,4.219,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861
"Bulgaria","Central and Eastern Europe",2015,129,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377
"Mauritania","Sub-Saharan Africa",2015,130,4.201,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263
"Zimbabwe","Sub-Saharan Africa",2015,131,4.193,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427
"Malawi","Sub-Saharan Africa",2015,132,4.156,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859
"Sudan","Sub-Saharan Africa",2015,133,4.139,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995
"Gabon","Sub-Saharan Africa",2015,134,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332
"Mali","Sub-Saharan Africa",2015,135,4.073,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087
"Haiti","Latin America and Caribbean",2015,136,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116
"Botswana","Sub-Saharan Africa",2015,137,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741
"Comoros","Sub-Saharan Africa",2015,138,3.956,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632
"Ivory Coast","Sub-Saharan Africa",2015,139,3.916,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478
"Cambodia","Southeastern Asia",2015,140,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573
"Angola","Sub-Saharan Africa",2015,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459
"Niger","Sub-Saharan Africa",2015,142,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469
"South Sudan","Sub-Saharan Africa",2015,143,3.832,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929
"Chad","Sub-Saharan Africa",2015,144,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637
"Burkina Faso","Sub-Saharan Africa",2015,145,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319
"Uganda","Sub-Saharan Africa",2015,145,3.739,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416
"Yemen","Middle East and Northern Africa",2015,147,3.724,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295
"Madagascar","Sub-Saharan Africa",2015,148,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075
"Tanzania","Sub-Saharan Africa",2015,149,3.666,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769
"Liberia","Sub-Saharan Africa",2015,150,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284
"Guinea","Sub-Saharan Africa",2015,151,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604
"Rwanda","Sub-Saharan Africa",2015,152,3.515,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819
"Benin","Sub-Saharan Africa",2015,153,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812
"Afghanistan","Southern Asia",2015,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558
"Togo","Sub-Saharan Africa",2015,155,3.303,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354
"Syria","Middle East and Northern Africa",2015,156,3.069,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789
"Burundi","Sub-Saharan Africa",2015,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404
